id,date_proposed,date_opened,date_closed,taken,ticker,creator,structure,strike,expiry,dte,contracts,spot_at_idea,premium_per_share,credit_or_debit,capital_at_risk,exp_roc_pct,exp_weekly_pct,exp_acct_pct,max_loss_pct,status,realized_pnl,realized_roc_pct,realized_acct_pct,invalidation,notes,paper_status,paper_pnl,paper_roc_pct,paper_acct_pct,live_stock,live_option_mid,mtm_asof,source_group,inventory_id,confidence,confidence_reason
1,2026-08-13,,,proposed,HIMS,both,CSP,29,2026-08-28,15,2,28.69,1.45,290,5800,0.05,0.0233,0.0116,1,proposed,,,,daily close under $27.50,"Sell 2x Aug28 29 put. If OTM expire keep $290. If assigned, 200 sh at $27.55 then wheel CC.",invalidated,-32.0,-0.005517,-0.00064,29.42,,2026-09-25 13:00:00 PT,tracker-only,tracker-only-1,,
2,2026-08-13,,,proposed,IREN,TLI+Danny,stock+CC,,2026-08-28,15,1,48,,,4800,,,,,proposed,,,,lose $46 as support,"Buy 100 sh into MSFT/NVDA pop, sell aggressive Aug28 OTM call. Call premium TBD at Fidelity fill.",invalidated,-324.0,-0.0675,-0.00648,44.125,,2026-09-25 13:30:31 PT,tracker-only,tracker-only-2,,
3,2026-08-13,,,proposed,NFLX,TLI,long call,,2026-08-28,15,,77.25,,,6250,,,,1,proposed,,,,$75 fails as support,"CSP does not fit $6250 cap. Long Aug28 OTM calls, debit cap $6250. Premium TBD at fill. Max loss = 100% of debit.",expired,,,,71.145,,2026-09-25 13:00:00 PT,tracker-only,tracker-only-3,,
4,2026-08-13,,,proposed,ABCL,Danny,CSP,10,2026-08-28,15,4,10.53,,,4000,,,,1,proposed,,,,weekly close under $9.31,Sell 4x Aug28 10 put. RSI stretched so sized under max. Premium TBD at fill.,expired,,,,12.65,,2026-09-24 13:18:43 PT,tracker-only,tracker-only-4,,
5,2026-08-14,,,proposed,OPEN,TLI,stock+CC,3.5,2026-08-21,7,5,3.625,0.21,105,1812.5,0.058,0.058,0.0042,,proposed,,,,200 WMA fails / TLI $2.68,Noon 8/14 KEEP sized to 5 lots not 17. Sell Aug21 3.50c bid 0.21. If called ~2.3% ROC.,expired,40.0,0.022039,0.0008,2.53,,2026-09-24 13:25:34 PT,emailed,2026-08-14-noon-OPEN,Medium,"Single-feed TLI CC at the printed 200 WMA / $2.68 zone, sized under the cap."
6,2026-08-14,,,proposed,GRAB,TLI,stock+CC,3.5,2026-08-21,7,5,3.615,0.17,85,1807.5,0.047,0.047,0.0034,,proposed,,,,lose reclaim / bottom trendline,Noon 8/14 KEEP 5 lots. Sell Aug21 3.50c bid 0.17. If called ~1.5% ROC.,expired,15.0,0.008287,0.0003,3.11,0.0,2026-09-24 13:25:06 PT,emailed,2026-08-14-noon-GRAB,Medium,"Single-feed TLI CC at the reclaim / bottom-trendline zone, sized under the cap."
7,2026-08-14,,,proposed,ZETA,TLI+Danny,CSP,28,2026-08-21,7,1,29.23,0.33,33,2800,0.0118,0.0118,0.0013,1,proposed,,,,Danny daily close <$20.29,Noon 8/14 KEEP. Sell Aug21 28p bid 0.33. If assigned basis 27.67; do not avg up vs TLI $26 only-add.,expired,33.0,0.011786,0.00066,29.57,,2026-09-24 13:18:57 PT,emailed,2026-08-14-noon-ZETA,Medium,"TLI+Danny overlap but not at the TLI $26 add zone — put sold above, do not buy shares."
8,2026-08-14,,,proposed,IREN,Danny+TLI,stock+CC,45,2026-08-21,7,1,44.03,1.72,172,4403,0.0391,0.0391,0.0069,,proposed,,,,daily close under $41,Noon 8/14 KEEP 1 lot. Sell Aug21 45c bid 1.72. If called 6.1% ROC / 1.08% acct. Expires before 8/27 earnings.,expired,-43.0,-0.009766,-0.00086,44.125,0.0,2026-09-25 13:30:31 PT,emailed,2026-08-14-noon-IREN,Medium,"TLI and Danny overlap but extended vs the $41 support, so not High."
9,2026-08-17,,,no,LULU,TLI,long call,120,2026-08-21,4,2,118.72,2.65,530,530,0.8868,1.5519,0.0188,1,out,,,,daily close under Friday low $117.95,Mon pre-open KEEP. Buy 2x Aug21 120c at CBOE ask 2.65. BE 122.65. Target $125 (analyst avg 127.92): +$470. Yahoo earnings est Sep 3 so Aug 21 is clean. Skip if it loses 117.95 on the open. Midday 8/17 OUT. Spot ~$115.49 under $117.95 kill.,out,-298.0,-0.562264,-0.00596,101.3,1.16,2026-09-25 13:00:00 PT,emailed,2026-08-17-AM-LULU,Low,Long call with only 4 days to expiry.
10,2026-08-17,,,proposed,NFLX,TLI+Danny,long call,79,2026-08-21,4,5,78.29,0.93,465,465,2.2258,3.8952,0.0414,1,proposed,,,,daily close <$75 or weekly close <$73.57,"Mon pre-open KEEP. Buy 5x Aug21 79c at CBOE ask 0.93. ChartEx PM 78.29, still at top of Danny 75-78. Do not chase if it rips through 79 first. Target $82: +$1035.",expired,-170.0,-0.365591,-0.0034,71.145,,2026-09-25 13:00:00 PT,emailed,2026-08-17-AM-NFLX,Medium,"Cap-correct long-call structure at the Danny 75–78 zone (CSP does not fit $6,250)."
